A_T,A_Ax,A_Ay,A_Az,A_Gx,A_Gy,A_Gz,B_T,B_Ax,B_Ay,B_Az,B_Gx,B_Gy,B_Gz,angle
47.25,0.550292969,-0.330078125,-0.764160156,5.365853786,-6.158536434,-13.96341419,47.25,-0.748046875,0.478027344,-0.455566406,-11.95121956,9.63414669,-10.91463375,150
47.3,0.561523438,-0.327636719,-0.774414063,5.060975552,-7.439024448,-12.56097603,47.3,-0.76171875,0.471191406,-0.440917969,-13.41463375,11.09756088,-9.756097794,150
47.35,0.551269531,-0.305175781,-0.767578125,2.926829338,-8.536585808,-13.41463375,47.35,-0.745605469,0.478515625,-0.432617188,-14.02439022,11.58536625,-10.97560978,150
47.4,0.560546875,-0.310058594,-0.76953125,8.841463089,-9.024390221,-12.68292713,47.4,-0.764160156,0.45703125,-0.453613281,-11.52439022,12.31707287,-9.39024353,150
47.45,0.571289063,-0.295410156,-0.78515625,-4.085365772,-11.21951199,-10.30487823,47.45,-0.766601563,0.452148438,-0.440917969,-14.39024353,13.65853691,-8.292682648,150
47.5,0.557617188,-0.280273438,-0.778808594,9.268292427,-10.60975647,-11.40243912,47.5,-0.786621094,0.458984375,-0.438476563,-12.43902397,8.597560883,-6.768292904,150
47.55,0.544921875,-0.305664063,-0.77734375,8.353658676,-7.256097794,-10.67073154,47.55,-0.797851563,0.446777344,-0.454589844,-14.02439022,8.780488014,-4.451219559,150
47.6,0.535644531,-0.291015625,-0.764160156,7.804878235,-3.231707335,-10.67073154,47.6,-0.756835938,0.476074219,-0.442871094,-17.37804794,11.64634132,-6.524390221,150
47.65,0.574707031,-0.301757813,-0.768066406,8.170731544,-3.780487776,-11.58536625,47.65,-0.749511719,0.474609375,-0.427734375,-10.18292713,9.817072868,-7.926829338,150
47.7,0.5625,-0.311523438,-0.763183594,16.15853691,-4.146341324,-10.79268265,47.7,-0.765136719,0.479492188,-0.435058594,-12.3780489,6.829268456,-5.426829338,150
47.75,0.552734375,-0.358398438,-0.766601563,5.975609779,-1.341463447,-7.865853786,47.75,-0.770507813,0.485839844,-0.45703125,-13.53658581,7.5,-4.451219559,150
47.8,0.544921875,-0.334960938,-0.766601563,9.024390221,0.426829278,-5.060975552,47.8,-0.747558594,0.469238281,-0.435546875,-8.10975647,6.463414669,-4.207316875,150
47.85,0.569335938,-0.333984375,-0.78515625,7.743902206,-1.341463447,-1.463414669,47.85,-0.766113281,0.474121094,-0.436523438,-4.634146214,7.01219511,2.378048897,150
47.9,0.562011719,-0.314941406,-0.782714844,0.121951222,-2.439024448,0.304878056,47.9,-0.759277344,0.49609375,-0.439453125,-4.390244007,5.182926655,1.890243888,150
47.95,0.563476563,-0.314941406,-0.78515625,0.182926834,-2.743902445,1.646341443,47.95,-0.777832031,0.483886719,-0.451660156,2.926829338,4.146341324,0.121951222,150
48,0.544921875,-0.306640625,-0.780761719,-6.585365772,-3.353658438,3.231707335,48,-0.759277344,0.467773438,-0.430664063,3.109755993,2.195122004,-0.792682946,150
48.05,0.544433594,-0.314453125,-0.770019531,-3.231707335,-2.073170662,5,48.05,-0.757324219,0.459960938,-0.458496094,5.243902206,2.621951103,-0.914634168,150
48.1,0.552246094,-0.330078125,-0.772460938,-4.634146214,-1.890243888,7.621951103,48.1,-0.753417969,0.451171875,-0.450195313,10.18292713,-0.731707335,2.073170662,150
48.15,0.546386719,-0.323242188,-0.771484375,-5.304878235,0.426829278,10.48780441,48.15,-0.770019531,0.454101563,-0.460449219,9.085366249,-2.98780489,4.329268456,150
48.2,0.541503906,-0.333007813,-0.78125,-7.01219511,1.036585331,12.80487823,48.2,-0.751464844,0.47265625,-0.462890625,12.31707287,-3.597560883,7.560975552,150
48.25,0.573242188,-0.345703125,-0.809570313,-14.93902397,-1.646341443,15.67073154,48.25,-0.774902344,0.472167969,-0.481445313,21.95121956,-4.329268456,8.597560883,150
48.3,0.526855469,-0.326171875,-0.814941406,-15.73170757,-0.792682946,18.84146309,48.3,-0.788574219,0.466308594,-0.465820313,19.81707382,-14.26829243,10.06097603,150
48.35,0.506347656,-0.333496094,-0.816894531,-12.01219559,3.414634228,17.86585426,48.35,-0.776855469,0.481445313,-0.511230469,21.52439117,-8.902439117,8.963414192,150
48.4,0.486816406,-0.331542969,-0.796875,-7.5,2.926829338,18.4146347,48.4,-0.724609375,0.452636719,-0.490234375,16.40243912,-7.98780489,10.42682934,150
48.45,0.488769531,-0.334472656,-0.79296875,-7.560975552,2.560975552,18.35365868,48.45,-0.716308594,0.46484375,-0.489257813,12.31707287,-3.902439117,11.34146309,150
48.5,0.491699219,-0.318359375,-0.77734375,-7.621951103,2.560975552,17.07317162,48.5,-0.722167969,0.465820313,-0.475585938,11.46341419,-3.475609779,11.89024353,150
48.55,0.4921875,-0.324707031,-0.765625,-4.207316875,2.5,14.69512177,48.55,-0.708496094,0.4765625,-0.468261719,7.256097794,-3.353658438,9.329268456,150
48.6,0.501953125,-0.345703125,-0.760742188,-4.695121765,4.634146214,12.07317066,48.6,-0.711425781,0.486816406,-0.474121094,5.853658676,-3.475609779,9.207317352,150
48.65,0.499511719,-0.362792969,-0.764648438,-1.341463447,5.975609779,10.06097603,48.65,-0.699707031,0.520996094,-0.483398438,6.341463566,-6.097560883,7.865853786,150
